window_size,hidden_dim,num_layers,dropout,lr,batch_size,epochs,best_val_loss,best_epoch,trial
45,256,1,0.13561743266056106,0.0002798392067720828,128,40,0.0011399077836956296,40,12
60,128,1,0.24509278570078719,0.0003049076313113666,128,40,0.0013464056021436604,7,11
20,192,2,0.0699678708662879,0.00010266242489415912,32,40,0.0017307203331341347,4,13
45,192,1,0.15519496958956588,0.0002250194292399174,128,40,0.0018254139387447919,7,4
30,128,2,0.0489289493446801,0.00015049484152564952,64,40,0.0020541275691955464,3,15
45,192,2,0.24680788251921726,0.001622295629115978,64,40,0.0020585849122809513,4,14
30,96,2,0.16434453394653276,0.00019664395781004241,64,40,0.0026190204303456494,3,9
45,192,2,0.16335235130446196,0.00011692189269628522,32,40,0.0028301175670432193,13,7
15,192,2,0.30050927196898386,0.0012048152196221231,64,40,0.0030484614219810618,14,1
15,128,2,0.2896709101974037,0.0009529712937697388,32,40,0.0034640741914412692,24,5
30,64,2,0.12977930848140343,0.00273203169069087,64,40,0.0038072558272987194,30,3
30,64,2,0.07941827216780943,0.0010919724759377025,64,40,0.0038670773997469105,31,10
15,192,2,0.33974430853821613,0.00242291254211705,64,40,0.004854231563666345,40,6
20,64,2,0.2663988956966235,0.0016534827678711269,128,40,0.00584415818626682,2,2
30,64,2,0.26066675456773597,0.0031596580578794964,128,40,0.00818524180133253,34,8
